Terrain_Type,Timestamp,Weather_Condition,Irradiance_W_m2,Panel_Bus_Voltage,Shunt_Current,Temperature_Ambient,Temperature_Panel,Humidity_Relative,Atm_Pressure,Altitude_Approx,Panel_Tilt_Angle_Z,Dust_Density_g_m2,RGB_Red,RGB_Green,RGB_Blue,Motion_Detected,Current_Predicted,Voltage_Predicted,Power_Predicted,Efficiency_Predicted,Efficiency_Drop_Percent,Ideal_Max_Power,Heat_Dissipation_C,Root_Cause_Class,Recommended_Action
Plain,2025-01-01 10:00:00,,882.6947464034813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,8.316598785545773,28.279860074377194,235.19224994996978,17.749794249562576,11.518135324472944,264.8084239210444,0.0,Normal_Operation,No action required. System healthy.
Himalayan,2025-01-01 11:00:00,,960.0916139234912,0.0,0.0,-7.5732667961265845,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,Stable,9.445055736258567,27.345109095965405,258.27607952546435,17.921682955593162,10.639612609555794,288.02748417704737,7.5732667961265845,Normal_Operation,No action required. System healthy.
Coastal,2025-01-01 12:00:00,,465.2124161355965,0.0,0.0,0.0,0.0,90.44616107651075,0.0,0.0,0.0,0.0,0.25,0.35,0.4,Stable,4.541286603964315,29.3156431930857,133.13073771935777,19.050828513781763,5.287983887554248,139.56372484067896,0.0,Normal_Operation,No action required. System healthy.
Plain,2025-01-01 13:00:00,,807.5259805899759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,7.692092881337703,29.519042313133706,227.06321524076222,18.730122989983766,6.657373093027186,242.25779417699277,0.0,Normal_Operation,No action required. System healthy.
Plain,2025-01-01 14:00:00,,785.6372495621152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,7.404722917262477,29.36742175730855,217.4576209072553,18.437113726561012,8.126012290933126,235.69117486863456,0.0,Normal_Operation,No action required. System healthy.
Plain,2025-01-01 15:00:00,,644.001339625104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Vibration,4.444668820699259,19.573257649877963,86.99664799592583,8.996532287095999,55.20264265657448,193.2004018875312,0.0,Temperature_Severe,⚠️ WARNING: Critical temperature. Check cooling/ventilation.
Plain,2025-01-01 16:00:00,,444.1938527560427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,2.4610540365630174,16.398046095931313,40.356477536138186,6.0478098601195045,69.94113520507739,133.2581558268128,0.0,Soiling_Severe,🚨 URGENT: High-pressure water cleaning required immediately.
Desert,2025-01-01 17:00:00,,1066.9908469109089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.323693378637824,0.44111864811883505,0.3137831598817129,0.12689204383074768,Stable,5.1041296848393465,13.663188338540486,69.73868518829529,4.354622732565891,78.28113311352662,320.09725407327267,0.0,Temperature_Severe,⚠️ WARNING: Critical temperature. Check cooling/ventilation.
Desert,2025-01-01 18:00:00,,1040.8738369716273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.52888017900565,0.4000948044526114,0.3283069154356185,0.22321564409282169,Stable,6.642607321853241,19.035936570794583,126.44825164349398,8.093668382028788,59.63500499408727,312.2621510914882,0.0,Dust_Accumulation_Loss,Scheduled cleaning recommended within 48 hours.
Plain,2025-01-01 19:00:00,,803.0588643248934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,7.7837184222842,28.36394887319228,220.77699137299393,18.31280147760727,8.738786571375922,240.91765929746802,0.0,Normal_Operation,No action required. System healthy.
Desert,2025-01-01 20:00:00,,739.3037508493538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.603898064959537,0.3632241194820137,0.3130930329645137,0.2737326822878673,Stable,2.7957467058603034,10.83014625756945,30.27834572358508,2.727887944964552,86.40953687497392,221.79112525480613,0.0,Dust_Accumulation_Loss,Scheduled cleaning recommended within 48 hours.
Plain,2025-01-01 21:00:00,,533.1436379930751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,3.55636459523942,20.243956982619128,71.9948918805365,8.99132035632359,55.26686404790544,159.94309139792253,0.0,Temperature_Severe,⚠️ WARNING: Critical temperature. Check cooling/ventilation.
Plain,2025-01-01 22:00:00,,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,10.780374448441226,28.983861161206484,312.4568762794384,18.925310495423282,5.602152181438546,330.0,0.0,Normal_Operation,No action required. System healthy.
Desert,2025-01-01 23:00:00,,1068.4238240827913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.755710413501937,0.511186202125236,0.36170849293956875,0.2244571162198808,Sand_Drift,6.397097850108729,18.94988399265493,121.22426214922265,7.559339033077955,62.29734776813325,320.5271472248374,0.0,Dust_Accumulation_Loss,Scheduled cleaning recommended within 48 hours.
Desert,2025-01-02 00:00:00,,857.4628316787696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.834495857070065,0.41488752288184283,0.2492919367372516,0.321357512398172,Stable,5.670281219245938,19.301890705185098,109.4471483615488,8.502768604860874,57.61786091754952,257.2388495036309,0.0,Dust_Accumulation_Loss,Scheduled cleaning recommended within 48 hours.
Coastal,2025-01-02 01:00:00,,487.79685203920127,0.0,0.0,0.0,0.0,71.36898465275767,0.0,0.0,0.0,0.0,0.25,0.35,0.4,Wind_High,4.413484203738939,27.20579752344389,120.07235761983956,16.38776189986627,18.506089833892236,146.3390556117604,0.0,High_Temperature_Loss,Monitor ventilation. Consider surface cooling.
Plain,2025-01-02 02:00:00,,814.1014416709032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,7.6804513110318355,28.047363155611013,215.41640711949861,17.625989113968327,12.157555274718135,244.23043250127097,0.0,Normal_Operation,No action required. System healthy.
Desert,2025-01-02 03:00:00,,825.1573314411123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.592529328254226,0.4365130137712454,0.26515119911782187,0.25357690812253014,Stable,3.981632338333353,13.751117916822844,54.75189578585701,4.419981005743817,77.97122803600003,247.54719943233368,0.0,Dust_Accumulation_Loss,Scheduled cleaning recommended within 48 hours.
Desert,2025-01-02 04:00:00,,858.0970086880012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.455223846803772,0.41346416099506755,0.3547674597199362,0.30392975580559367,Stable,3.062738771323607,10.306624386451192,31.566498109853452,2.450538218741537,87.78523866256243,257.42910260640036,0.0,Dust_Accumulation_Loss,Scheduled cleaning recommended within 48 hours.
Plain,2025-01-02 05:00:00,,583.8703394892098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,5.722771089750379,28.571703032517064,163.5093160994219,18.648299352304758,7.181940629746075,175.16110184676293,0.0,Normal_Operation,No action required. System healthy.
Desert,2025-01-02 06:00:00,,899.4741409861989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.236796096832247,0.43716727316488513,0.22634900847423678,0.26024504289885625,Stable,5.385917341324093,18.344572645966274,98.80235193308934,7.317547883848556,63.520331579163084,269.84224229585965,0.0,Dust_Accumulation_Loss,Scheduled cleaning recommended within 48 hours.
Plain,2025-01-02 07:00:00,,577.7229505222743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,5.2350064260610045,27.697799102151073,144.99815628750758,16.712858366098164,16.81921337845269,173.3168851566823,0.0,High_Temperature_Loss,Monitor ventilation. Consider surface cooling.
Plain,2025-01-02 08:00:00,,681.4111586772824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,6.215651721787958,28.86943329705288,179.44234277986934,17.538794559050263,12.647542320020388,204.4233476031847,0.0,Normal_Operation,No action required. System healthy.
Himalayan,2025-01-02 09:00:00,,746.6595818997122,0.0,0.0,-6.985774576122122,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,Stable,7.172312524147532,28.16684687550606,202.0214286109379,18.02170774352633,10.211850224316798,223.99787456991365,6.985774576122122,Normal_Operation,No action required. System healthy.
Himalayan,2025-01-02 10:00:00,,765.998831789187,0.0,0.0,4.597342843164867,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,Stable,7.340164707395456,29.021671829191067,213.02385131024118,18.523841383175498,7.701830683969046,229.79964953675608,-4.597342843164867,Normal_Operation,No action required. System healthy.
Coastal,2025-01-02 11:00:00,,401.78071424189375,0.0,0.0,0.0,0.0,87.47958437475738,0.0,0.0,0.0,0.0,0.25,0.35,0.4,Stable,3.87197456805094,28.500640625666303,110.35375567573935,18.280444584930336,9.199432985804346,120.53421427256812,0.0,Normal_Operation,No action required. System healthy.
Plain,2025-01-02 12:00:00,,652.09961559565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,6.283397211623797,29.042239180977926,182.4839246890681,18.63698433857283,7.194206522951607,195.629884678695,0.0,Normal_Operation,No action required. System healthy.
Plain,2025-01-02 13:00:00,,923.3667551059908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,8.852266817651904,27.519141106691738,243.60677966904777,17.575611006343234,12.374822337141357,277.0100265317972,0.0,Normal_Operation,No action required. System healthy.
Coastal,2025-01-02 14:00:00,,581.702417584252,0.0,0.0,0.0,0.0,80.97752014373278,0.0,0.0,0.0,0.0,0.25,0.35,0.4,Stable,5.386694700408025,29.69603572269938,159.96347825059215,18.311809764231985,8.858288859725649,174.51072527527558,0.0,Normal_Operation,No action required. System healthy.
Desert,2025-01-02 15:00:00,,837.7433099343548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.266556643026313,0.4247048529803818,0.27303071364592496,0.2362008928446625,Stable,4.283455491547827,14.87615363833882,63.72134199525161,5.066840310717901,74.74612153153042,251.32299298030642,0.0,Dust_Accumulation_Loss,Scheduled cleaning recommended within 48 hours.
Plain,2025-01-02 16:00:00,,737.2832339488093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,7.298189214211129,29.619098145095315,216.16578261719548,19.52849666686096,2.7090885411579335,221.1849701846428,0.0,Normal_Operation,No action required. System healthy.
Desert,2025-01-02 17:00:00,,774.0462509458129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.355213432490842,0.5139541934721211,0.2634229852636819,0.22643367482148036,Stable,3.6064491274828705,13.481296716802223,48.619610781649065,4.183881940980635,79.1523507242032,232.21387528374385,0.0,Dust_Accumulation_Loss,Scheduled cleaning recommended within 48 hours.
Plain,2025-01-02 18:00:00,,553.6736522182944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,5.392285577898432,28.825839192023086,155.43715694596548,18.693349151609333,6.980725569638668,166.1020956654883,0.0,Normal_Operation,No action required. System healthy.
Himalayan,2025-01-02 19:00:00,,809.5771996610703,0.0,0.0,14.47673508458682,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,Stable,7.346369747794844,27.98297300687875,205.5732663510938,16.914517953120477,15.704841632919253,242.87315989832106,-14.47673508458682,High_Temperature_Loss,Monitor ventilation. Consider surface cooling.
Plain,2025-01-02 20:00:00,,1078.0881370311565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,10.05829613022519,28.507067637034847,286.73252809765535,17.719969178956802,11.6186316019128,323.42644110934697,0.0,Normal_Operation,No action required. System healthy.
Coastal,2025-01-02 21:00:00,,548.3132246721218,0.0,0.0,0.0,0.0,88.28225965164721,0.0,0.0,0.0,0.0,0.25,0.35,0.4,Stable,5.178480432287623,28.123166140378935,145.63526555192615,17.685561632839626,11.999653015457278,164.49396740163652,0.0,Normal_Operation,No action required. System healthy.
Plain,2025-01-02 22:00:00,,709.8616663040445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,6.817157077170109,28.937843882104346,197.2738272189314,18.509590499052226,7.798088265137981,212.95849989121336,0.0,Normal_Operation,No action required. System healthy.
Desert,2025-01-02 23:00:00,,787.311660945799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.189201955735344,0.4204747925701618,0.22178975493265157,0.19939229808388606,Stable,4.575329997855424,16.909800504660236,77.36791750672276,6.545689121606819,67.38194003354494,236.19349828373967,0.0,Dust_Accumulation_Loss,Scheduled cleaning recommended within 48 hours.
Desert,2025-01-03 00:00:00,,920.8414214556024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1214779693342,0.5357277073880504,0.29064255976795433,0.30483065917310265,Stable,3.6268079610551056,11.588911249318308,42.03075557898871,3.040722493974241,84.84025690264329,276.2524264366807,0.0,Dust_Accumulation_Loss,Scheduled cleaning recommended within 48 hours.
Plain,2025-01-03 01:00:00,,853.7679351937793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,8.536082904871026,27.362323360086357,233.5670606715863,18.223907768015433,9.163957924925214,256.13038055813377,0.0,Normal_Operation,No action required. System healthy.
Himalayan,2025-01-03 02:00:00,,720.8980682756949,0.0,0.0,4.298777540479946,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,Stable,6.573737017614465,28.98425495356984,190.5348697162575,17.603860101013886,12.304792228494321,216.26942048270845,-4.298777540479946,Normal_Operation,No action required. System healthy.
Coastal,2025-01-03 03:00:00,,1000.0,0.0,0.0,0.0,0.0,93.18653200608567,0.0,0.0,0.0,0.0,0.25,0.35,0.4,Wind_High,9.902716934811199,27.399744998989462,271.3319188110014,18.076743425116682,9.856505378404846,300.0,0.0,Normal_Operation,No action required. System healthy.
Himalayan,2025-01-03 04:00:00,,772.7288882845463,0.0,0.0,13.726036915415929,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,Stable,7.02470813785853,28.236042478542636,198.3499573799376,17.097758588527174,14.804959424330843,231.81866648536388,-13.726036915415929,Normal_Operation,No action required. System healthy.
Himalayan,2025-01-03 05:00:00,,579.7149439044068,0.0,0.0,1.103321268950669,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,Stable,5.6704951448174805,29.135265286269163,165.21138034875858,18.977327714455193,5.547340990088079,173.91448317132205,-1.103321268950669,Normal_Operation,No action required. System healthy.
Desert,2025-01-03 06:00:00,,875.9304672274433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.704281738035418,0.5069635699598551,0.3373146929944227,0.22859940339728987,Stable,5.762193438836942,18.87346485821675,108.75255537413615,8.270812301277203,58.77135875688426,262.77914016823297,0.0,Dust_Accumulation_Loss,Scheduled cleaning recommended within 48 hours.
Himalayan,2025-01-03 07:00:00,,661.0889283932997,0.0,0.0,0.8960275913002995,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,Stable,6.503518673130676,27.87196923494742,181.26587237640427,18.261109663402593,9.06090758942516,198.3266785179899,-0.8960275913002995,Normal_Operation,No action required. System healthy.
Plain,2025-01-03 08:00:00,,578.3546985110481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,3.694660881679466,20.167572537807327,74.51234133386981,8.579112483584007,57.30108623253456,173.50640955331443,0.0,Temperature_Severe,⚠️ WARNING: Critical temperature. Check cooling/ventilation.
Plain,2025-01-03 09:00:00,,772.6231255489047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,7.15463166479677,29.147463421646044,208.53936474501438,17.978543692528962,10.416208556592444,231.7869376646714,0.0,Normal_Operation,No action required. System healthy.
Plain,2025-01-03 10:00:00,,762.221998228639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,7.5616253351240275,28.742071871232977,217.33677884547095,18.992441828568083,5.368573685355116,228.6665994685917,0.0,Normal_Operation,No action required. System healthy.
Plain,2025-01-03 11:00:00,,322.0701415807694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,3.141182194715407,27.8097557881315,87.3555097210624,18.044736451647335,10.515696711473066,96.62104247423082,0.0,Normal_Operation,No action required. System healthy.
Desert,2025-01-03 12:00:00,,979.0964540099345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.930369926901374,0.42627765042527604,0.30781639577605513,0.2761148420808296,Stable,6.382130154814383,18.656893651701232,119.07072356968746,8.102007587810956,59.599920827698014,293.7289362029803,0.0,Dust_Accumulation_Loss,Scheduled cleaning recommended within 48 hours.
Plain,2025-01-03 13:00:00,,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,10.421271160678662,27.382997491551258,285.36564205163927,17.284411995859436,13.786815090139193,330.0,0.0,Normal_Operation,No action required. System healthy.
Coastal,2025-01-03 14:00:00,,398.5553904703909,0.0,0.0,0.0,0.0,88.75085244867259,0.0,0.0,0.0,0.0,0.25,0.35,0.4,Stable,3.771624012325543,29.158250340019908,109.97395713981851,18.364709593532165,8.785732114305379,119.56661714111726,0.0,Normal_Operation,No action required. System healthy.
Desert,2025-01-03 15:00:00,,907.8544345804894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.396707343102698,0.4659905817398089,0.33998018926510387,0.2237127508365977,Stable,3.6160520592270378,11.861225975316277,42.89081061299965,3.1472988027188404,84.30956014287491,272.3563303741468,0.0,Dust_Accumulation_Loss,Scheduled cleaning recommended within 48 hours.
Plain,2025-01-03 16:00:00,,958.1288921845094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,8.808030034032946,27.492701708020938,242.1565423609573,16.83755138590115,16.045742296139252,287.4386676553528,0.0,High_Temperature_Loss,Monitor ventilation. Consider surface cooling.
Desert,2025-01-03 17:00:00,,911.5520993975638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.957939455017513,0.4759673164798567,0.35959779838214867,0.1958485547703841,Sand_Drift,4.940566436026135,16.793765170097664,82.97071253388926,6.063656045421834,69.77009012439042,273.4656298192691,0.0,Dust_Accumulation_Loss,Scheduled cleaning recommended within 48 hours.
Plain,2025-01-03 18:00:00,,620.5609367708025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,5.705372661203003,28.529375703001996,162.7707201770968,17.46764194812868,13.035093724065195,186.16828103124075,0.0,Normal_Operation,No action required. System healthy.
Coastal,2025-01-03 19:00:00,,253.9876942857274,0.0,0.0,0.0,0.0,81.04913388278456,0.0,0.0,0.0,0.0,0.25,0.35,0.4,Stable,2.3935479030523297,28.621327490230872,68.5065183968161,17.93451017046669,11.256742818244037,76.19630828571822,0.0,Normal_Operation,No action required. System healthy.
Plain,2025-01-03 20:00:00,,479.5460519088289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,4.705737739386794,29.65058043014662,139.52785532486445,19.370284588152277,3.683432074939552,143.86381557264866,0.0,Normal_Operation,No action required. System healthy.
Himalayan,2025-01-03 21:00:00,,581.8185546133641,0.0,0.0,2.500183982897056,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,Stable,3.1908103761643103,16.389945858984003,52.29720931161743,5.985526316209083,70.20875526003528,174.54556638400922,-2.500183982897056,Soiling_Severe,🚨 URGENT: High-pressure water cleaning required immediately.
Coastal,2025-01-03 22:00:00,,743.7204841252815,0.0,0.0,0.0,0.0,73.77439203784702,0.0,0.0,0.0,0.0,0.25,0.35,0.4,Wind_High,7.022128855184297,28.904851755819283,202.9735935693631,18.17813874168578,9.433747687302152,223.11614523758445,0.0,Normal_Operation,No action required. System healthy.
Plain,2025-01-03 23:00:00,,769.5123227607104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,7.620622057091315,29.753589482847513,226.74086029062792,19.626681018586623,2.2051994889576543,230.85369682821312,0.0,Normal_Operation,No action required. System healthy.
Plain,2025-01-04 00:00:00,,717.3395398828793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,7.067884020728817,28.447908281437908,201.06651636553397,18.668967346097666,7.0005620958942245,215.20186196486378,0.0,Normal_Operation,No action required. System healthy.
Coastal,2025-01-04 01:00:00,,571.4566132833341,0.0,0.0,0.0,0.0,90.15877439513585,0.0,0.0,0.0,0.0,0.25,0.35,0.4,Wind_High,5.591668301267825,27.340450450777897,152.87873012799838,17.81419442109969,11.342261622195371,171.43698398500024,0.0,Normal_Operation,No action required. System healthy.
Coastal,2025-01-04 02:00:00,,344.0967140053072,0.0,0.0,0.0,0.0,81.51763817303429,0.0,0.0,0.0,0.0,0.25,0.35,0.4,Wind_High,3.3277123018941763,29.569495581825294,98.39877420844553,19.02730582284343,5.593682371273523,103.22901420159216,0.0,Normal_Operation,No action required. System healthy.
Coastal,2025-01-04 03:00:00,,784.6346814929159,0.0,0.0,0.0,0.0,71.88280808642824,0.0,0.0,0.0,0.0,0.25,0.35,0.4,Wind_High,7.46815639192349,27.340797264040447,204.1853498477279,17.333927527842473,13.623672532464493,235.39040444787474,0.0,Normal_Operation,No action required. System healthy.
Coastal,2025-01-04 04:00:00,,466.3024299134027,0.0,0.0,0.0,0.0,87.97638494442165,0.0,0.0,0.0,0.0,0.25,0.35,0.4,Stable,4.347625842088004,27.37012588508392,118.99506659919264,16.988285730351183,15.540882309485083,139.89072897402082,0.0,High_Temperature_Loss,Monitor ventilation. Consider surface cooling.
Plain,2025-01-04 05:00:00,,771.1337897126459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,7.169128938424561,29.856275635856615,214.04348965459982,18.488672634264855,7.874940379320961,231.34013691379377,0.0,Normal_Operation,No action required. System healthy.
Desert,2025-01-04 06:00:00,,988.9218352251431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.90747615796055,0.49208036018791956,0.280718411952724,0.2777570405312785,Stable,5.985453915443676,18.758863074862933,112.28031044071014,7.564107722624932,62.281103356431935,296.6765505675429,0.0,Dust_Accumulation_Loss,Scheduled cleaning recommended within 48 hours.
Plain,2025-01-04 07:00:00,,738.3154792388179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,7.008468294202664,28.601719836332364,200.45424663260277,18.083815036963983,9.90603493433464,221.49464377164537,0.0,Normal_Operation,No action required. System healthy.
Himalayan,2025-01-04 08:00:00,,822.5239850496268,0.0,0.0,7.435636453888883,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,Stable,4.7803290014024,17.078097935743237,81.63892685102385,6.611585192390329,67.0488170156422,246.75719551488805,-7.435636453888883,Soiling_Severe,🚨 URGENT: High-pressure water cleaning required immediately.
Desert,2025-01-04 09:00:00,,1112.8377107869026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.478251749752644,0.4970233503860715,0.4323423011494365,0.2126648051859552,Sand_Drift,5.156150221139242,13.090901060952877,67.49865240034411,4.041214611399745,79.84220167810498,333.8513132360708,0.0,Dust_Accumulation_Loss,Scheduled cleaning recommended within 48 hours.
Plain,2025-01-04 10:00:00,,801.2481978611852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,Stable,4.664819184381383,17.916974368273227,83.57944575919045,6.948322443048033,65.37353372789762,240.37445935835555,0.0,Soiling_Severe,🚨 URGENT: High-pressure water cleaning required immediately.
